chr	start	end	strand	pvalue	qvalue	meth.diff
chr2	1918001	1920000	*	7.7158147086607e-06	0.000412588412414553	-27.2727272727273
chr2	61298001	61300000	*	5.44689448790342e-17	5.32082433582392e-14	-42.0720370130151
chr4	2800001	2802000	*	1.64053587534697e-16	1.49312417657789e-13	33.8770746887967
chr6	8422001	8424000	*	5.46316164560425e-08	6.37982178731626e-06	33.009869785187
chr6	12222001	12224000	*	1.97706675487969e-14	1.20036088517651e-11	-32.2938322938323
chr7	5776001	5778000	*	0	0	-27.2296195699379
chr9	2550001	2552000	*	2.02134901653533e-06	0.000135543179096416	-29.7297297297297
chr9	32876001	32878000	*	1.28646456774184e-47	1.14379991997719e-43	49.7839239412273
chr11	102858001	102860000	*	1.34680578937097e-36	9.41993607092964e-33	-40.0044799325375
chr11	107090001	107092000	*	2.52321398740029e-60	3.07815065729424e-56	62.3315627620911
chr15	3398001	3400000	*	0.000263413049379603	0.0069901044428925	26.3157894736842
chr17	47258001	47260000	*	0.00187931116079555	0.0301072580930223	-52.5641025641026
chr17	64342001	64344000	*	2.9067693376205e-21	5.54475193003527e-18	83.1228070175439
chr18	41352001	41354000	*	0	0	-43.2910817238596
